replicate,delta1,delta2,determinant
119,0.9508619519905108,0.9462344175211084,1.0000000000000002
120,0.9518624802110343,0.9260865494629709,1.0000000000000004
121,0.9551430965355188,0.9287659683263172,0.9999999999999999
122,0.9514959284827588,0.944095825608644,1.0
123,0.9481269852053326,0.9025376754319595,0.9999999999999999
124,0.9522868636212237,0.9290670678210896,0.9999999999999996
125,0.9507699309796486,0.916916048436535,1.0000000000000007
126,0.9508837258321294,0.9484846741986775,1.0000000000000002
127,0.9438854420818701,0.9494502710077821,1.000000000000001
128,0.9583623958502314,0.9270891188364204,0.9999999999999994
129,0.9548001638168669,0.9216351329146967,0.999999999999999
130,0.9507774992607956,0.9292691127534563,0.9999999999999998
131,0.9445976072554821,0.9215305779366735,1.0000000000000002
132,0.9551806637203389,0.9198325831730427,1.0000000000000009
133,0.9445621582066803,0.9128679894913821,1.0000000000000004
134,0.963632308814419,0.9300698503595308,1.0
135,0.9497166317607364,0.919785358373909,1.0000000000000009
136,0.9596597999233533,0.9427595934187367,1.0000000000000004
137,0.9515771122447487,0.9200406836362446,1.0000000000000004
138,0.9415474120268524,0.9300025714474464,1.0000000000000002
139,0.9562376860383514,0.913042450551797,1.0
140,0.9433466354205199,0.9527449825261524,1.000000000000001
141,0.9459290767233176,0.9487418869969727,0.9999999999999999
142,0.958785809125385,0.9181107042352821,0.9999999999999997
143,0.9389536726410028,0.9436127499658765,0.9999999999999999
144,0.9450667051832281,0.9426052024938854,1.0000000000000007
145,0.9412178067596443,0.9426625479105822,1.0000000000000007
146,0.9495236292986245,0.9451314497771178,1.0
147,0.9514033489980445,0.9462564315008184,0.9999999999999999
148,0.9462735163928018,0.9293063559177047,0.9999999999999998
149,0.9572524518054307,0.9265971015489984,0.9999999999999998
150,0.9499163417266026,0.9192485931773715,0.9999999999999998
151,0.9492099648391236,0.9348712660848907,0.9999999999999998
152,0.9513623855426558,0.9379314067035339,1.0
153,0.9464021028700237,0.9150605570170202,1.0000000000000007
154,0.9556663997136902,0.9460952149390951,1.0
155,0.9554317437130407,0.9243218371504961,0.9999999999999999
156,0.9566796080768148,0.9527356302683455,0.9999999999999998
157,0.9466417357132888,0.9264223464060634,1.0
158,0.9541500215446687,0.9189702069056053,1.0000000000000004
159,0.9444629955782702,0.9276384003537704,1.0000000000000004
160,0.9613312000179195,0.9304900396882521,1.0
161,0.9430565774337192,0.9214029540396298,1.0
162,0.9483756116180805,0.9234384441068259,-0.9999999999999998
163,0.957556938063729,0.9477472412545092,1.0
164,0.9617416800967054,0.9170071213418839,0.9999999999999999
165,0.9456234081517274,0.9093901956451949,-1.0000000000000002
166,0.9521676147105488,0.912172945467756,1.0000000000000007
167,0.960528180596129,0.9541211323481528,1.0000000000000002
168,0.9489900211989979,0.9107620578619893,0.9999999999999999
169,0.9453225364198207,0.9215719774727966,0.9999999999999999
170,0.9626952181726799,0.9505862894729388,0.9999999999999994
171,0.9478437373779538,0.9316022160779284,0.9999999999999996
172,0.9526420327317758,0.9217998684870703,0.9999999999999999
