party,target,period,n,median_d1,q25,q75,replicate
PPD,P2,20,7,-0.643449176469137,-0.707102447539116,-0.591817021239939,95
PPD,P3,24,7,-0.683336454567776,-0.7288997247091674,-0.6505230179407774,95
PR,P1,17,6,-0.36610544988309546,-0.4797003800359573,-0.254566347978802,95
PR,P2,20,6,-0.3186050947224182,-0.49154833069717985,-0.16091293188332395,95
PR,P3,24,6,-0.24249086851975907,-0.5124821490140774,-0.036041710422686966,95
PREP,P3,24,1,0.9006295381944828,0.9006295381944828,0.9006295381944828,95
PRI,P1,17,1,-0.7395379518641549,-0.7395379518641549,-0.7395379518641549,95
PRI,P2,20,1,-0.7235999199912343,-0.7235999199912343,-0.7235999199912343,95
PRI,P3,24,1,-0.7023492108273405,-0.7023492108273405,-0.7023492108273405,95
PRO,P2,20,1,-0.884001763130861,-0.884001763130861,-0.884001763130861,95
PRO,P3,24,1,-0.881309985456145,-0.881309985456145,-0.881309985456145,95
PS,P1,17,18,-0.6593532670896911,-0.7042579732237586,-0.6247285648861796,95
PS,P2,20,18,-0.6636362323288165,-0.7055258599107381,-0.6245653894299422,95
PS,P3,24,18,-0.6549071900794861,-0.709711769924815,-0.6259148749530902,95
RD,P1,17,8,-0.7540957209886179,-0.7802508237355038,-0.7446278000444859,95
RD,P2,20,10,-0.7747978166273624,-0.7905733613564593,-0.745385228889148,95
RD,P3,24,10,-0.7753534877955232,-0.8194958387286115,-0.7321533207067579,95
RN,P1,17,34,0.6526910960753216,0.6035065259021318,0.7433630469992561,95
RN,P2,20,36,0.6222864105635042,0.574626595504413,0.6773239328738608,95
RN,P3,24,33,0.5472670024357839,0.45518107806790487,0.6296669565306622,95
UDI,P1,17,30,0.6979330713105197,0.6258230764985357,0.7576415938373549,95
UDI,P2,20,31,0.6762884240466983,0.5840050163747899,0.7769893905107703,95
UDI,P3,24,30,0.6528744499935238,0.5052782319945964,0.8109296883139866,95
COMUNES,P1,17,2,-0.8920226065098622,-0.8940364649511265,-0.8900087480685978,96
COMUNES,P2,20,1,-0.8719243003335487,-0.8719243003335487,-0.8719243003335487,96
COMUNES,P3,24,1,-0.8504968479418344,-0.8504968479418344,-0.8504968479418344,96
DC,P1,17,15,-0.15341687206838797,-0.280757375438914,-0.07064805170561123,96
DC,P2,20,14,-0.14654485307075152,-0.22921388035690296,0.012850348480505001,96
DC,P3,24,14,-0.10113877352387113,-0.181101577451903,0.10570098186134139,96
EVOP,P1,17,6,0.7007483038530458,0.6324202043752354,0.7540633165059432,96
EVOP,P2,20,6,0.6453810593085721,0.6077577497414988,0.7326911367771012,96
EVOP,P3,24,6,0.6309264304596837,0.5155061130194397,0.6817783671300749,96
FRVS,P1,17,1,-0.7422264391779484,-0.7422264391779484,-0.7422264391779484,96
FRVS,P2,20,1,-0.6997779991414708,-0.6997779991414708,-0.6997779991414708,96
FRVS,P3,24,1,-0.643180079092835,-0.643180079092835,-0.643180079092835,96
IND,P1,17,13,-0.5700875134023743,-0.8238250989304423,-0.171754839490392,96
IND,P2,20,11,-0.5547352248885478,-0.6522613979793077,-0.06574691648108816,96
IND,P3,24,11,-0.6986178982026955,-0.7910476174660488,0.06751093648739953,96
LIBERAL,P1,17,2,-0.7033817961564641,-0.7256193477926282,-0.6811442445203,96
LIBERAL,P2,20,2,-0.6446924860311574,-0.6738736431516509,-0.6155113289106637,96
LIBERAL,P3,24,2,-0.566440072530748,-0.6048793702970143,-0.5280007747644817,96
