replicate,log_likelihood,beta,w2,classification_pct,valid_votes,iterations,converged,final_ll_improvement,elapsed_seconds,which,seconds_seeds,seconds_engine
103,-64225.16709298057,4.788837472007052,0.531069353995974,93.8688,436977.0,4.0,0.0,799.384646437189,182.41,replicate,303.3,182.7
104,-64197.731383496095,4.766859136521774,0.525141919549586,93.8368,436329.0,4.0,0.0,799.783662496113,184.85,replicate,298.3,185.1
105,-64152.361096493834,4.733091728578664,0.531063158717599,93.8017,435460.0,4.0,0.0,811.437334202812,184.49,replicate,299.5,184.8
106,-64928.348511603064,4.743625482236963,0.533033419734708,93.806,437394.0,4.0,0.0,989.124478053083,185.38,replicate,302.9,185.7
107,-64257.03213639123,4.780411719466199,0.531243328186088,93.8248,436749.0,4.0,0.0,745.099866590659,185.15,replicate,299.2,185.4
108,-64786.22219490105,4.834701688495077,0.535074141175718,93.7949,437238.0,4.0,0.0,705.953050204553,185.29,replicate,302.0,185.6
109,-63651.070845507,4.822616755826739,0.531210549500471,93.8573,436358.0,4.0,0.0,1009.135913292339,184.89,replicate,306.4,185.2
110,-63949.31500137153,4.813825371457155,0.53554574375929,93.865,437032.0,4.0,0.0,920.197049415838,183.13,replicate,309.7,183.4
111,-64468.24248140775,4.799268177992316,0.528003810698979,93.7802,435881.0,4.0,0.0,595.57927151303,182.27,replicate,309.9,182.6
112,-64468.51500328308,4.745430941900642,0.534054465099923,93.802,435642.0,4.0,0.0,647.337779588153,182.3,replicate,302.6,182.6
113,-65062.34073969885,4.757464260249735,0.527567786815697,93.7679,435807.0,4.0,0.0,745.500844088252,174.2,replicate,287.0,174.5
114,-64515.52306798348,4.787290703100266,0.529549284270943,93.8229,436530.0,4.0,0.0,709.785294302783,173.59,replicate,287.5,173.9
115,-64341.264424229965,4.712560207756848,0.53868697368744,93.8018,435691.0,4.0,0.0,872.311890905548,173.77,replicate,283.6,174.0
116,-64917.094838309305,4.773382923303277,0.530923703821881,93.7916,437457.0,4.0,0.0,724.875049382143,173.82,replicate,287.4,174.1
117,-64521.31312825775,4.774359714955027,0.529520079918775,93.8381,435986.0,4.0,0.0,523.327920007621,182.3,replicate,291.2,182.6
118,-64795.36095360319,4.797336142206937,0.525425768159645,93.7834,436556.0,4.0,0.0,571.57856051025,183.38,replicate,292.6,183.7
119,-65010.97344464742,4.771851426375031,0.532758325423297,93.7884,437727.0,4.0,0.0,817.103522716439,184.86,replicate,293.7,185.1
120,-64468.60279959449,4.725049237079261,0.530806376067471,93.8003,435825.0,4.0,0.0,762.62888364723,183.9,replicate,291.8,184.2
121,-64706.74778104367,4.781029327814228,0.532563280484692,93.7879,436183.0,4.0,0.0,714.585720074938,183.62,replicate,302.9,183.9
122,-65253.15129640522,4.806972107180775,0.532540053991263,93.745,436002.0,4.0,0.0,682.259773036043,184.55,replicate,299.3,184.8
123,-64758.47903715116,4.655415684322614,0.531444241882316,93.789,436207.0,4.0,0.0,685.880710788806,184.75,replicate,298.0,185.0
124,-64698.621819657325,4.75664831220787,0.527895284773321,93.8337,435640.0,4.0,0.0,456.304805380176,184.79,replicate,295.6,185.1
125,-64482.084183962,4.796173266766639,0.531406891137884,93.7885,436289.0,4.0,0.0,673.457226265273,183.57,replicate,302.6,183.9
126,-64702.821202989144,4.747170345205332,0.535266914562697,93.76,435723.0,4.0,0.0,882.672667461418,182.89,replicate,301.4,183.2
127,-64380.48793173084,4.836631996823198,0.53154768866944,93.8316,435917.0,4.0,0.0,796.0025368446,183.22,replicate,302.9,183.5
128,-64773.97332806493,4.752140547819008,0.532440300270797,93.7982,436598.0,4.0,0.0,667.878278569282,183.45,replicate,302.4,183.8
129,-64397.81105921248,4.770002764997874,0.53109836901635,93.7866,436072.0,4.0,0.0,580.163399688478,134.44,replicate,298.5,134.7
130,-64499.05033236145,4.761716508352558,0.524386782866433,93.7995,435625.0,4.0,0.0,679.143905012228,134.31,replicate,290.7,134.5
131,-64469.327961864845,4.798497869599809,0.527578315689403,93.8183,436855.0,4.0,0.0,735.08537481528,135.41,replicate,291.8,135.6
132,-64886.73696625869,4.703358614319975,0.528991286101205,93.8041,436417.0,4.0,0.0,793.604658409102,135.29,replicate,288.0,135.5
133,-64871.740164529016,4.706061598470808,0.53021565450469,93.8055,436030.0,4.0,0.0,635.928245866373,140.92,replicate,240.8,141.2
134,-64071.289971168175,4.811042524618737,0.529330358788612,93.8208,436576.0,4.0,0.0,839.49284344737,140.74,replicate,241.2,141.0
135,-63799.46015143693,4.810675721451021,0.530053395721645,93.878,435444.0,4.0,0.0,757.666904212041,140.78,replicate,243.4,141.0
136,-64610.41114585601,4.799594667821906,0.533701731906627,93.8296,437120.0,4.0,0.0,658.774055649723,142.85,replicate,245.3,143.1
137,-64705.348839140446,4.801556472783038,0.526253232256745,93.8136,436732.0,4.0,0.0,693.697228173303,137.73,replicate,263.2,138.0
