replicate,anchor_rows,determinant,rotation_degrees,alignment_rmse
80,3265.0,1.0,2.446841809350444,0.10283522181423922
81,3265.0,1.0000000000000004,1.4403653100844955,0.10279663701457062
82,3265.0,0.9999999999999993,1.5057924602087092,0.10266227770509881
83,3265.0,0.9999999999999997,2.173749780212148,0.10278019344692894
84,3265.0,1.0000000000000004,2.7274590868797652,0.10459003922875976
85,3265.0,0.9999999999999998,1.7751873849693056,0.10775267628957602
86,3265.0,1.0,0.5246425103219949,0.1003082278737647
87,3265.0,1.0000000000000004,1.0453516372022948,0.09943916787083658
88,3265.0,1.0000000000000002,2.2498774890786954,0.10187973780698868
89,3265.0,0.9999999999999994,1.4719919147502698,0.10590223698608857
90,3265.0,1.0,1.9076141167749845,0.10356562637228275
91,3265.0,1.0,1.7637377433970518,0.10083087566348568
92,3265.0,1.0000000000000007,0.9362961586174702,0.10372530420113665
93,3265.0,0.9999999999999994,2.294596800859729,0.10752790804320754
94,3265.0,1.0000000000000004,1.8958220665094478,0.10445767427213146
95,3265.0,-1.0000000000000002,,0.10925842777495165
96,3265.0,0.9999999999999999,1.8519546669006326,0.10113916846185816
97,3265.0,1.0,1.8360192755258988,0.10568531675464295
98,3265.0,1.0,1.644143751820497,0.11302797541398253
99,3265.0,0.9999999999999994,2.0540037390813035,0.09586032722322724
100,3265.0,0.9999999999999998,1.1090622323098782,0.10958360481226699
101,3265.0,1.0,1.7192320509795627,0.10187206200551789
102,3265.0,1.0,1.1504878658381401,0.1034867221246875
103,3265.0,0.9999999999999994,2.1263373072720557,0.10381493810704986
104,3265.0,0.9999999999999992,1.4168609777724888,0.10790161291293517
105,3265.0,1.0000000000000002,1.8710917237890137,0.10942066693655936
106,3265.0,1.000000000000001,2.119926969087152,0.10502439962892379
107,3265.0,1.0,0.9730101707695459,0.1043383799457411
108,3265.0,0.9999999999999997,2.36553790980156,0.09882566133022777
109,3265.0,0.9999999999999997,1.4684467891101092,0.10828960714974559
110,3265.0,0.9999999999999998,2.028792926278115,0.10096612639246773
111,3265.0,1.0,1.6535335015653985,0.10709545879568555
112,3265.0,0.9999999999999999,0.9336241474556821,0.10450497719314425
113,3265.0,1.0000000000000004,2.138420420051219,0.09940870291497374
114,3265.0,1.0000000000000002,1.9614162270573856,0.10756649438340046
115,3265.0,1.0,1.756417500420097,0.10318656307345565
116,3265.0,1.0,1.1178985568287543,0.10392214917521173
117,3265.0,0.9999999999999999,1.4526903164515397,0.10292828108396705
118,3265.0,0.9999999999999999,1.2855532677155166,0.10545429906758842
119,3265.0,1.0000000000000002,2.026440369533918,0.11364293729563504
120,3265.0,1.0000000000000004,1.6329631241146725,0.10798039705883107
121,3265.0,0.9999999999999999,0.8559127591177609,0.101002038929357
122,3265.0,1.0,1.2229935098299773,0.10186332372367174
123,3265.0,0.9999999999999999,2.3669985141718612,0.11848515986963562
124,3265.0,0.9999999999999996,1.9232601404574095,0.10166383677306255
125,3265.0,1.0000000000000007,2.005025581299428,0.10544310757930218
126,3265.0,1.0000000000000002,1.6468882354625525,0.10331601758645945
127,3265.0,1.000000000000001,1.6822007527475735,0.10408754921682836
128,3265.0,0.9999999999999994,2.4968398299911287,0.10899143115787709
129,3265.0,0.999999999999999,1.1310549366341038,0.11112319788815805
130,3265.0,0.9999999999999998,2.1671323603293966,0.10997261993947015
131,3265.0,1.0000000000000002,1.8180803559524463,0.10732578176731708
132,3265.0,1.0000000000000009,1.5787730917026532,0.10729695185192024
133,3265.0,1.0000000000000004,2.811990939421223,0.11415319591828901
134,3265.0,1.0,2.293117176237436,0.10529077427300385
135,3265.0,1.0000000000000009,1.3726355519276237,0.1038787059915302
136,3265.0,1.0000000000000004,1.4477807908918883,0.09689033409592947
137,3265.0,1.0000000000000004,0.9139727024461809,0.10875915045467716
138,3265.0,1.0000000000000002,0.3453004279834852,0.10671364335349498
139,3265.0,1.0,2.277115245828293,0.10893904233620536
140,3265.0,1.000000000000001,1.4403906306174903,0.11394441398694864
141,3265.0,0.9999999999999999,1.1502434078681512,0.10199506658095563
142,3265.0,0.9999999999999997,1.5763062479209051,0.10154055443205225
143,3265.0,0.9999999999999999,1.6365593985149745,0.10242184028829733
144,3265.0,1.0000000000000007,1.1850538441730356,0.10086167572725621
145,3265.0,1.0000000000000007,2.852636219897868,0.1058835845102018
146,3265.0,1.0,1.8753516430539334,0.10137949611518528
147,3265.0,0.9999999999999999,2.131833964835049,0.1073378826601796
148,3265.0,0.9999999999999998,2.505681546973046,0.1009820050398785
149,3265.0,0.9999999999999998,1.2175315335415473,0.10366937796078833
150,3265.0,0.9999999999999998,1.4689668863628702,0.10813791154586755
151,3265.0,0.9999999999999998,2.9776164733218766,0.1012090302520021
152,3265.0,1.0,1.7732111995547806,0.10565180075154283
153,3265.0,1.0000000000000007,2.2638573066654066,0.10775965543261017
154,3265.0,1.0,1.594088767094306,0.11290824745857903
155,3265.0,0.9999999999999999,1.7376033035147347,0.10280641401506256
156,3265.0,0.9999999999999998,1.263991786576268,0.09735313423258737
157,3265.0,1.0,0.9374402596387262,0.10525169722862743
158,3265.0,1.0000000000000004,0.674141864205902,0.10238784295089945
159,3265.0,1.0000000000000004,1.571375917779228,0.10522486678396521
160,3265.0,1.0,1.3258139207429374,0.100672381879088
161,3265.0,1.0,1.1216657885811536,0.10782040303697393
162,3265.0,-0.9999999999999998,,0.11017066766999584
163,3265.0,1.0,1.6241223459149359,0.11018480998142953
164,3265.0,0.9999999999999999,2.067432469353351,0.10383542462974743
165,3265.0,-1.0000000000000002,,0.1057297281535211
166,3265.0,1.0000000000000007,0.7464669370876271,0.11256184630079195
167,3265.0,1.0000000000000002,1.2834515598380503,0.09871554583045046
168,3265.0,0.9999999999999999,1.6790474721841058,0.1106879192839786
169,3265.0,0.9999999999999999,1.749327830972701,0.10538074160651573
170,3265.0,0.9999999999999994,1.9117965759571398,0.10238971559560661
171,3265.0,0.9999999999999996,1.724866041158543,0.10127585268721048
