party,target,period,n,observed_median_d1,q25,q75,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
PRO,P2,20,1,-0.803800199481086,-0.803800199481086,-0.803800199481086,200,-0.8616999398215347,-0.05789974034044865,0.01902558773009457,-0.8960606306053729,-0.8233600758759145,-0.7842403230862576,-0.7115397683567992
PRO,P3,24,1,-0.81455792409354,-0.81455792409354,-0.81455792409354,200,-0.8956703170985437,-0.08111239300500372,0.03629763204678827,-0.9635249819249719,-0.8212866016137186,-0.8078292465733614,-0.6655908662621081
PS,P1,17,18,-0.5997767314616416,-0.6373856637749326,-0.5672929466610223,200,-0.6515820118333014,-0.05180528037165988,0.009371236944554152,-0.6706297970314046,-0.6330425025402224,-0.5665109603830607,-0.5289236658918786
PS,P2,20,18,-0.5837667744180115,-0.6236693462933403,-0.5534558115443218,200,-0.6483886144961514,-0.06462184007813987,0.011066546225114346,-0.6713684854656786,-0.6296503016425113,-0.5378832471935117,-0.4961650633703444
PS,P3,24,18,-0.562420165026505,-0.595288899805011,-0.5346681440651248,200,-0.6413658222234128,-0.07894565719690771,0.015827759037411106,-0.6701873466278742,-0.6162075159755993,-0.5086328140774108,-0.45465298342513594
RD,P1,17,8,-0.717691539937673,-0.72754989320654,-0.7152397831831775,200,-0.7657658251651543,-0.04807428522748136,0.011129637669754574,-0.7861008615403828,-0.7478363068008882,-0.6875467730744578,-0.6492822183349631
RD,P2,20,10,-0.7127977462359025,-0.7190158889871755,-0.698802848684629,200,-0.7697688581596587,-0.056971111923756146,0.012427908976403574,-0.7952628007426739,-0.7468381467434373,-0.6787573457283678,-0.6303326917291312
RD,P3,24,10,-0.687406900714163,-0.7007322339104965,-0.6725943534893599,200,-0.7677268778900306,-0.08031997717586759,0.020642726855987125,-0.8145232828078923,-0.7337676360184595,-0.6410461654098665,-0.5602905186204337
RN,P1,17,34,0.6509953458151335,0.6044182145036813,0.710590433958278,200,0.6749051658747153,0.023909820059581754,0.014158928356746835,0.6497652797315561,0.7002415523387366,0.6017491392915304,0.652225411898711
RN,P2,20,36,0.6493236729265071,0.5997764911939975,0.7153452659348363,200,0.6449889689772464,-0.00433470394926061,0.014116742452070945,0.6196331368682609,0.6716979490427443,0.6269493968102698,0.6790142089847532
