908,9,6,6,1,1,1,1,1,1,1,9,9,1,9,1,1,1,1,1,1,1,1,6,1,1
909,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
910,1,1,1,1,1,9,1,9,9,1,1,1,1,1,9,6,9,1,9,1,1,1,1,1,1
911,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
912,1,1,6,1,9,9,9,6,1,9,9,9,1,9,9,9,9,9,9,1,9,1,1,9,9
913,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
914,6,1,1,1,1,9,9,9,1,1,1,1,9,9,9,1,1,1,1,9,1,6,9,9,9
915,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
916,9,1,1,1,1,9,9,1,1,1,1,1,1,9,9,9,9,1,1,1,1,9,1,9,1
917,9,6,6,1,1,1,1,1,1,1,9,9,1,6,1,1,1,1,1,1,1,1,9,9,9
918,1,1,1,1,1,1,1,1,9,1,1,1,1,1,6,9,1,1,1,1,1,1,1,1,1
919,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
920,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
921,1,1,6,1,9,1,9,6,1,9,1,1,1,9,9,9,9,9,9,1,1,1,1,1,1
922,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
923,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
924,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
925,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
926,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
927,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
928,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
929,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
