cohort,party,target_a,target_b,n_a,n_b,median_a,median_b,observed_delta,successful_replicates,enough_replicates,bootstrap_mean_delta,bootstrap_bias,absolute_bias_over_absolute_delta,bootstrap_se,bootstrap_se_mcse_approx,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper,proportion_negative,proportion_positive,one_sided_basic_upper,one_sided_percentile_upper,p_left_centered_bootstrap,p_two_sided_centered_bootstrap,eligible_party,primary_hypothesis,percentile_direction,p_left_holm_within_family,negative_supported_basic,negative_supported_percentile,robust_negative
full,PC,P1,P3,8,8,-0.7357652976836899,-0.9007285965413125,-0.16496329885762262,999,True,-0.09542713463462499,0.06953616422299763,0.4215250586314551,0.03412777716298249,0.0007638845634621018,-0.16227496219932608,-0.030055087760596514,-0.29987150995464873,-0.16765163551591916,0.997997997997998,0.002002002002002002,-0.17812561588848624,-0.040236259575494746,0.001,0.003,True,True,left,0.01,True,True,True
full,PEV,P1,P3,1,1,-0.85883701866152,-0.944396190820311,-0.08555917215879105,999,True,-0.008576450158084163,0.07698272200070688,0.8997600147162836,0.042980285626534394,0.0009620309159459019,-0.09332598291012534,0.07587899527755876,-0.24699733959514086,-0.07779236140745677,0.5585585585585585,0.44144144144144143,-0.0890387693234998,0.06085054471301005,0.001,0.442,False,True,inconclusive,,True,False,False
full,PH,P1,P3,3,2,-0.899887491424543,-0.9222385018021866,-0.022351010377643532,999,True,0.04761411684247324,0.06996512722011677,3.1302892369509605,0.04096250690834111,0.0009168668254764512,-0.031141012383532375,0.1307271582059689,-0.17542917896125595,-0.013561008371754689,0.1111111111111111,0.8888888888888888,-0.028439565630466214,0.11481471857062231,0.008,0.896,False,True,inconclusive,,True,False,False
full,PPD,P1,P3,6,7,-0.498370304473027,-0.725096992476606,-0.22672668800357898,999,True,-0.15948092660528984,0.06724576139828914,0.29659393867751305,0.03856586878268687,0.0008632226968345837,-0.23286996988873176,-0.08281759099903217,-0.3706357850081258,-0.2205834061184262,1.0,0.0,-0.23438660043038506,-0.09771725202929447,0.001,0.001,True,True,left,0.01,True,True,True
full,PR,P1,P3,6,6,-0.2330479200152035,-0.44982209157550646,-0.21677417156030296,999,True,-0.16443146597630046,0.0523427055840025,0.2414619103708194,0.04342440395080009,0.0009719716492856989,-0.24686723035723554,-0.07616089321522014,-0.3573874499053858,-0.18668111276337038,0.998998998998999,0.001001001001001001,-0.20188646166262303,-0.0948866400777565,0.001,0.002,True,True,left,0.01,True,True,True
full,PRI,P1,P3,1,1,-0.648184850333521,-0.688840507540772,-0.04065565720725095,999,True,0.022033982416379813,0.06268963962363076,1.5419659631636713,0.04514160278872233,0.001010407838036564,-0.06805549005437186,0.11225905462109574,-0.19357036903559766,-0.013255824360130036,0.30930930930930933,0.6906906906906907,-0.02785684914231539,0.0963860506362079,0.014,0.704,False,True,inconclusive,,True,False,False
full,PS,P1,P3,18,18,-0.5511791654031875,-0.7041165625395276,-0.15293739713634014,999,True,-0.09117110808142473,0.06176628905491541,0.40386648531655206,0.038071792492994236,0.0008521637506551587,-0.16538515426913838,-0.015868154030024905,-0.2900066402426554,-0.1404896400035419,0.992992992992993,0.007007007007007007,-0.1506058023394953,-0.029352557821163163,0.001,0.008,True,True,left,0.01,True,True,True
full,RD,P1,P3,8,10,-0.6593794700681386,-0.765552460997935,-0.10617299092979637,999,True,-0.03037924001663018,0.07579375091316619,0.7138703567584573,0.03506622010289192,0.0007848898012794762,-0.09696121992418097,0.03746941659035187,-0.2498153984499446,-0.11538476193541178,0.8138138138138138,0.18618618618618618,-0.1253728886914286,0.025614617537815392,0.001,0.187,True,True,inconclusive,0.01,True,False,False
full,RN,P1,P3,34,33,0.68961729458574,0.564201830573194,-0.125415464012546,999,True,-0.11891462215795737,0.006500841854588629,0.05183445204124361,0.04079151737302271,0.0009130395540453379,-0.1996193015293264,-0.04085960482444422,-0.20997132320064776,-0.051211626495765605,0.998998998998999,0.001001001001001001,-0.06268939611731722,-0.04977541208205311,0.001,0.002,True,True,left,0.01,True,True,True
full,UDI,P1,P3,30,30,0.7221332755509555,0.6332939042030685,-0.088839371347887,999,True,-0.08740151971311672,0.0014378516347702819,0.01618484702170825,0.042358655255763024,0.0009481169173240833,-0.17219044266990347,-0.0019478376582690246,-0.17573090503750496,-0.0054883000258705295,0.9769769769769769,0.023023023023023025,-0.02191418154360958,-0.01844705038490042,0.019,0.042,True,True,left,0.038,True,True,True
