cohort,party,target,period,n,median_d1,q25,q75,n_new_after_p1,n_near_center,n_effective_model_zero,share_new_after_p1,share_near_center
balanced,PRI,P2,8,1,-0.665608703422343,-0.665608703422343,-0.665608703422343,0,0,0,0.0,0.0
balanced,PRI,P3,12,1,-0.688840507540772,-0.688840507540772,-0.688840507540772,0,0,0,0.0,0.0
balanced,PRO,P2,8,1,-0.807806208531565,-0.807806208531565,-0.807806208531565,0,0,0,0.0,0.0
balanced,PRO,P3,12,1,-0.908890778604038,-0.908890778604038,-0.908890778604038,0,0,0,0.0,0.0
balanced,PS,P1,5,18,-0.5511791654031875,-0.5925535087422545,-0.48504041647284846,0,0,0,0.0,0.0
balanced,PS,P2,8,18,-0.6040626547048135,-0.6434884210233548,-0.574108690484231,0,0,0,0.0,0.0
balanced,PS,P3,12,18,-0.7041165625395276,-0.733783463376973,-0.6600782110157205,0,0,0,0.0,0.0
balanced,RD,P1,5,7,-0.658960824605082,-0.6602130517983755,-0.657645850662822,0,0,0,0.0,0.0
balanced,RD,P2,8,9,-0.712907933141939,-0.720359488646284,-0.698158659801219,0,0,0,0.0,0.0
balanced,RD,P3,12,9,-0.769886920518866,-0.786141921605879,-0.748199555448771,0,0,0,0.0,0.0
balanced,RN,P1,5,32,0.7007673370961209,0.6543512647499765,0.7318245134378307,0,0,0,0.0,0.0
balanced,RN,P2,8,32,0.6482822732682885,0.595982865954777,0.7039050196278172,0,0,0,0.0,0.0
balanced,RN,P3,12,31,0.577325817741585,0.49752011797885054,0.680390464887892,0,0,0,0.0,0.0
balanced,UDI,P1,5,27,0.721541856809094,0.6556371519705364,0.7842199900114211,0,0,0,0.0,0.0
balanced,UDI,P2,8,27,0.650840823750527,0.5841700942194286,0.7937811323446871,0,0,0,0.0,0.0
balanced,UDI,P3,12,27,0.592240941845502,0.488588491210624,0.805067257592545,0,1,0,0.0,0.037037037037037035
stable,COMUNES,P1,5,1,-0.848297440048674,-0.848297440048674,-0.848297440048674,0,0,0,0.0,0.0
stable,COMUNES,P2,8,1,-0.839725677005907,-0.839725677005907,-0.839725677005907,0,0,0,0.0,0.0
stable,COMUNES,P3,12,1,-0.828296659615552,-0.828296659615552,-0.828296659615552,0,0,0,0.0,0.0
stable,DC,P1,5,14,-0.039251361545328003,-0.127974294519032,0.04312611602209175,0,8,0,0.0,0.5714285714285714
stable,DC,P2,8,14,-0.1715803064734725,-0.256643212239991,-0.03138714179571925,0,6,0,0.0,0.42857142857142855
stable,DC,P3,12,14,-0.34047036430029454,-0.4441352582186685,-0.12653827481041074,0,2,0,0.0,0.14285714285714285
stable,EVOP,P1,5,6,0.6782538439126959,0.6301751576452025,0.7184549396737567,0,0,0,0.0,0.0
stable,EVOP,P2,8,6,0.6751764274662135,0.6132745825888628,0.7195409729101658,0,0,0,0.0,0.0
stable,EVOP,P3,12,6,0.689692482330625,0.5721212057206877,0.6930409876353617,0,0,0,0.0,0.0
stable,FRVS,P1,5,1,-0.650312881306413,-0.650312881306413,-0.650312881306413,0,0,0,0.0,0.0
stable,FRVS,P2,8,1,-0.639562775792681,-0.639562775792681,-0.639562775792681,0,0,0,0.0,0.0
stable,FRVS,P3,12,1,-0.625229301774373,-0.625229301774373,-0.625229301774373,0,0,0,0.0,0.0
stable,IND,P1,5,8,-0.1736703936396495,-0.4027661866526742,0.09925133351428425,0,2,0,0.0,0.25
stable,IND,P2,8,8,-0.31355018333937545,-0.5358473044908041,-0.005772669480214751,0,0,0,0.0,0.0
stable,IND,P3,12,8,-0.358627945170356,-0.7826252535791252,-0.11798427417873625,0,0,0,0.0,0.0
stable,LIBERAL,P1,5,2,-0.5714371538763365,-0.5770625253978527,-0.5658117823548202,0,0,0,0.0,0.0
stable,LIBERAL,P2,8,2,-0.6008448048626356,-0.6227430912150198,-0.5789465185102513,0,0,0,0.0,0.0
stable,LIBERAL,P3,12,2,-0.6400550061777015,-0.6836505123045762,-0.5964595000508268,0,0,0,0.0,0.0
stable,PC,P1,5,7,-0.735586384401118,-0.738056173744277,-0.7247267286907055,0,0,0,0.0,0.0
stable,PC,P2,8,7,-0.804715620725597,-0.8096847384927245,-0.8017571860708225,0,0,0,0.0,0.0
stable,PC,P3,12,7,-0.901322606148173,-0.905428042534083,-0.8978756851249274,0,0,0,0.0,0.0
stable,PEV,P1,5,1,-0.85883701866152,-0.85883701866152,-0.85883701866152,0,0,0,0.0,0.0
stable,PEV,P2,8,1,-0.895505235301001,-0.895505235301001,-0.895505235301001,0,0,0,0.0,0.0
stable,PEV,P3,12,1,-0.944396190820311,-0.944396190820311,-0.944396190820311,0,0,0,0.0,0.0
stable,PH,P1,5,2,-0.8924169673522655,-0.8980337367680012,-0.8868001979365298,0,0,0,0.0,0.0
stable,PH,P2,8,2,-0.90519762497366,-0.9142802747100475,-0.8961149752372725,0,0,0,0.0,0.0
stable,PH,P3,12,2,-0.9222385018021866,-0.9509203770747383,-0.8935566265296347,0,0,0,0.0,0.0
stable,PPD,P1,5,5,-0.513461481115519,-0.630367379292759,-0.483279127830535,0,0,0,0.0,0.0
stable,PPD,P2,8,5,-0.604162414555985,-0.661396866266036,-0.563762217404413,0,0,0,0.0,0.0
stable,PPD,P3,12,5,-0.702769515563739,-0.725096992476606,-0.694659810173255,0,0,0,0.0,0.0
stable,PR,P1,5,6,-0.2330479200152035,-0.3534698668397105,-0.0734268111753345,0,2,0,0.0,0.3333333333333333
stable,PR,P2,8,6,-0.3028728080782735,-0.45235232125746827,-0.1485022577293475,0,0,0,0.0,0.0
stable,PR,P3,12,6,-0.44982209157550646,-0.5841955938144779,-0.3222348273134325,0,0,0,0.0,0.0
stable,PRI,P1,5,1,-0.648184850333521,-0.648184850333521,-0.648184850333521,0,0,0,0.0,0.0
stable,PRI,P2,8,1,-0.665608703422343,-0.665608703422343,-0.665608703422343,0,0,0,0.0,0.0
stable,PRI,P3,12,1,-0.688840507540772,-0.688840507540772,-0.688840507540772,0,0,0,0.0,0.0
stable,PS,P1,5,18,-0.5511791654031875,-0.5925535087422545,-0.48504041647284846,0,0,0,0.0,0.0
stable,PS,P2,8,18,-0.6040626547048135,-0.6434884210233548,-0.574108690484231,0,0,0,0.0,0.0
stable,PS,P3,12,18,-0.7041165625395276,-0.733783463376973,-0.6600782110157205,0,0,0,0.0,0.0
stable,RD,P1,5,7,-0.658960824605082,-0.6602130517983755,-0.657645850662822,0,0,0,0.0,0.0
stable,RD,P2,8,7,-0.706979031954483,-0.713187471087967,-0.6955808992583341,0,0,0,0.0,0.0
stable,RD,P3,12,7,-0.769886920518866,-0.785946783971169,-0.7445924041726786,0,0,0,0.0,0.0
stable,RN,P1,5,31,0.710047930713102,0.649252173117467,0.7331468815646055,0,0,0,0.0,0.0
stable,RN,P2,8,31,0.647569892484926,0.5931040290165941,0.691877757056375,0,0,0,0.0,0.0
stable,RN,P3,12,31,0.577325817741585,0.49752011797885054,0.680390464887892,0,0,0,0.0,0.0
stable,UDI,P1,5,27,0.721541856809094,0.6556371519705364,0.7842199900114211,0,0,0,0.0,0.0
stable,UDI,P2,8,27,0.650840823750527,0.5841700942194286,0.7937811323446871,0,0,0,0.0,0.0
stable,UDI,P3,12,27,0.592240941845502,0.488588491210624,0.805067257592545,0,1,0,0.0,0.037037037037037035
continuous,COMUNES,P1,5,1,-0.848297440048674,-0.848297440048674,-0.848297440048674,0,0,0,0.0,0.0
continuous,COMUNES,P2,8,1,-0.839725677005907,-0.839725677005907,-0.839725677005907,0,0,0,0.0,0.0
continuous,COMUNES,P3,12,1,-0.828296659615552,-0.828296659615552,-0.828296659615552,0,0,0,0.0,0.0
continuous,DC,P1,5,12,-0.019862581324394498,-0.069795830795063,0.0528782941277085,0,8,0,0.0,0.6666666666666666
continuous,DC,P2,8,12,-0.126573786162005,-0.2260511683141045,-0.02702600801627875,0,6,0,0.0,0.5
continuous,DC,P3,12,12,-0.268855392612152,-0.42820176920127073,-0.1090936523675205,0,2,0,0.0,0.16666666666666666
continuous,EVOP,P1,5,6,0.6782538439126959,0.6301751576452025,0.7184549396737567,0,0,0,0.0,0.0
continuous,EVOP,P2,8,6,0.6751764274662135,0.6132745825888628,0.7195409729101658,0,0,0,0.0,0.0
continuous,EVOP,P3,12,6,0.689692482330625,0.5721212057206877,0.6930409876353617,0,0,0,0.0,0.0
continuous,FRVS,P1,5,1,-0.650312881306413,-0.650312881306413,-0.650312881306413,0,0,0,0.0,0.0
continuous,FRVS,P2,8,1,-0.639562775792681,-0.639562775792681,-0.639562775792681,0,0,0,0.0,0.0
continuous,FRVS,P3,12,1,-0.625229301774373,-0.625229301774373,-0.625229301774373,0,0,0,0.0,0.0
continuous,IND,P1,5,8,-0.1736703936396495,-0.4027661866526742,0.09925133351428425,0,2,0,0.0,0.25
continuous,IND,P2,8,8,-0.31355018333937545,-0.5358473044908041,-0.005772669480214751,0,0,0,0.0,0.0
continuous,IND,P3,12,8,-0.358627945170356,-0.7826252535791252,-0.11798427417873625,0,0,0,0.0,0.0
continuous,LIBERAL,P1,5,2,-0.5714371538763365,-0.5770625253978527,-0.5658117823548202,0,0,0,0.0,0.0
continuous,LIBERAL,P2,8,2,-0.6008448048626356,-0.6227430912150198,-0.5789465185102513,0,0,0,0.0,0.0
continuous,LIBERAL,P3,12,2,-0.6400550061777015,-0.6836505123045762,-0.5964595000508268,0,0,0,0.0,0.0
continuous,PC,P1,5,7,-0.735586384401118,-0.738056173744277,-0.7247267286907055,0,0,0,0.0,0.0
continuous,PC,P2,8,7,-0.804715620725597,-0.8096847384927245,-0.8017571860708225,0,0,0,0.0,0.0
continuous,PC,P3,12,7,-0.901322606148173,-0.905428042534083,-0.8978756851249274,0,0,0,0.0,0.0
continuous,PEV,P1,5,1,-0.85883701866152,-0.85883701866152,-0.85883701866152,0,0,0,0.0,0.0
continuous,PEV,P2,8,1,-0.895505235301001,-0.895505235301001,-0.895505235301001,0,0,0,0.0,0.0
continuous,PEV,P3,12,1,-0.944396190820311,-0.944396190820311,-0.944396190820311,0,0,0,0.0,0.0
continuous,PH,P1,5,1,-0.881183428520794,-0.881183428520794,-0.881183428520794,0,0,0,0.0,0.0
continuous,PH,P2,8,1,-0.923362924446435,-0.923362924446435,-0.923362924446435,0,0,0,0.0,0.0
continuous,PH,P3,12,1,-0.97960225234729,-0.97960225234729,-0.97960225234729,0,0,0,0.0,0.0
continuous,PPD,P1,5,4,-0.571914430204139,-0.6641000744745017,-0.49371170547951976,0,0,0,0.0,0.0
continuous,PPD,P2,8,4,-0.6327796404110104,-0.6933124669355628,-0.589615701802912,0,0,0,0.0,0.0
continuous,PPD,P3,12,4,-0.7139332540201725,-0.749007931234961,-0.700742089216118,0,0,0,0.0,0.0
continuous,PR,P1,5,5,-0.345202449763322,-0.35622567253184,-0.120893390267085,0,1,0,0.0,0.2
continuous,PR,P2,8,5,-0.437225962224843,-0.45739444093501,-0.168519653931704,0,0,0,0.0,0.0
continuous,PR,P3,12,5,-0.559923978840204,-0.592286132139236,-0.316406368314307,0,0,0,0.0,0.0
continuous,PRI,P1,5,1,-0.648184850333521,-0.648184850333521,-0.648184850333521,0,0,0,0.0,0.0
continuous,PRI,P2,8,1,-0.665608703422343,-0.665608703422343,-0.665608703422343,0,0,0,0.0,0.0
continuous,PRI,P3,12,1,-0.688840507540772,-0.688840507540772,-0.688840507540772,0,0,0,0.0,0.0
continuous,PS,P1,5,17,-0.554784136373588,-0.597616161730217,-0.496177580139814,0,0,0,0.0,0.0
continuous,PS,P2,8,17,-0.606830700711562,-0.644364964066744,-0.572598578790582,0,0,0,0.0,0.0
continuous,PS,P3,12,17,-0.69756033345289,-0.735171790213967,-0.65527320013487,0,0,0,0.0,0.0
continuous,RD,P1,5,7,-0.658960824605082,-0.6602130517983755,-0.657645850662822,0,0,0,0.0,0.0
continuous,RD,P2,8,7,-0.706979031954483,-0.713187471087967,-0.6955808992583341,0,0,0,0.0,0.0
continuous,RD,P3,12,7,-0.769886920518866,-0.785946783971169,-0.7445924041726786,0,0,0,0.0,0.0
continuous,RN,P1,5,26,0.7167656664086846,0.6624091137341968,0.7437183242047962,0,0,0,0.0,0.0
continuous,RN,P2,8,26,0.6526979235982905,0.6171423229913064,0.7106368492129458,0,0,0,0.0,0.0
continuous,RN,P3,12,26,0.5788023390076364,0.5225401112006728,0.6931917719870866,0,0,0,0.0,0.0
continuous,UDI,P1,5,22,0.7221332755509555,0.6536008691446117,0.7810116509214385,0,0,0,0.0,0.0
continuous,UDI,P2,8,22,0.6838279387131105,0.5921718674675845,0.7666743760918647,0,0,0,0.0,0.0
continuous,UDI,P3,12,22,0.6332939042030685,0.5043952542254218,0.7583485808645283,0,0,0,0.0,0.0
