cohort,party,target,period,n,observed_median_d1,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
stable,PH,P2,8,2,-0.90519762497366,999,-0.9175753634089482,-0.012377738435288221,0.019402842838836434,-0.9468846187854242,-0.8841307700790114,-0.9262644798683085,-0.8635106311618957
stable,PH,P3,12,2,-0.9222385018021866,999,-0.8937959362415993,0.02844256556058733,0.033952648505784305,-0.9572116606272143,-0.8278200312757851,-1.016656972328588,-0.8872653429771589
stable,PPD,P1,5,5,-0.513461481115519,999,-0.5611764983256043,-0.04771501721008531,0.018936067932006657,-0.5989127824158732,-0.5241429134889856,-0.5027800487420525,-0.42801017981516487
stable,PPD,P2,8,5,-0.604162414555985,999,-0.6239953498387709,-0.019832935282785957,0.017070818987571783,-0.6570665664232681,-0.5910969300575313,-0.6172278990544386,-0.5512582626887018
stable,PPD,P3,12,5,-0.702769515563739,999,-0.6946983008034538,0.008071214760285161,0.032584678592148114,-0.7575454958326464,-0.6333744751856191,-0.772164555941859,-0.6479935352948316
stable,PR,P1,5,6,-0.2330479200152035,999,-0.26354973183324015,-0.030501811818036656,0.015240698389989208,-0.29283375852027915,-0.23419013304369052,-0.23190570698671648,-0.17326208151012784
stable,PR,P2,8,6,-0.3028728080782735,999,-0.31028174516113954,-0.007408937082866052,0.011856893027622993,-0.33320765344576075,-0.2872813981414558,-0.31846421801509117,-0.27253796271078623
stable,PR,P3,12,6,-0.44982209157550646,999,-0.4279811978095406,0.021840893765965874,0.03295493205960952,-0.49140709742548505,-0.36266483932137794,-0.536979343829635,-0.40823708572552786
stable,PRI,P1,5,1,-0.648184850333521,999,-0.6995718069536175,-0.05138695662009651,0.018278483203813853,-0.7356969708183655,-0.664517898225822,-0.6318518024412201,-0.5606727298486766
stable,PRI,P2,8,1,-0.665608703422343,999,-0.6901286716323118,-0.024519968209968823,0.017436786844421837,-0.7236016581738484,-0.6551881075003949,-0.6760292993442911,-0.6076157486708377
stable,PRI,P3,12,1,-0.688840507540772,999,-0.6775378245372377,0.01130268300353432,0.03779413176605647,-0.7477926128295946,-0.6036164930172102,-0.7740645220643337,-0.6298884022519493
stable,PS,P1,5,18,-0.5511791654031875,999,-0.5955901431322241,-0.04441097772903668,0.01481435750053217,-0.623692014420456,-0.5653853689763663,-0.5369729618300086,-0.47866631638591894
stable,PS,P2,8,18,-0.6040626547048135,999,-0.6289331587504837,-0.02487050404567026,0.011787501313355715,-0.6507769142123888,-0.6054072613847645,-0.6027180480248624,-0.5573483951972381
stable,PS,P3,12,18,-0.7041165625395276,999,-0.6867612512136488,0.017355311325878753,0.02918035712913299,-0.7421433767258047,-0.6296904726822956,-0.7785426523967596,-0.6660897483532505
stable,RD,P1,5,7,-0.658960824605082,999,-0.7240365982172657,-0.06507577361218375,0.013458495123838624,-0.7519120534446839,-0.697833756096509,-0.620087893113655,-0.56600959576548
stable,RD,P2,8,7,-0.706979031954483,999,-0.7364145403273039,-0.02943550837282094,0.012378699725917895,-0.758935434447507,-0.7126184104957034,-0.7013396534132625,-0.655022629461459
