cohort,party,target_a,target_b,n_a,n_b,median_a,median_b,delta_b_minus_a
stable,PR,P1,P3,6,6,-0.2330479200152035,-0.44982209157550646,-0.21677417156030296
stable,PR,P2,P3,6,6,-0.3028728080782735,-0.44982209157550646,-0.14694928349723296
stable,PRI,P1,P2,1,1,-0.648184850333521,-0.665608703422343,-0.017423853088821994
stable,PRI,P1,P3,1,1,-0.648184850333521,-0.688840507540772,-0.04065565720725095
stable,PRI,P2,P3,1,1,-0.665608703422343,-0.688840507540772,-0.023231804118428956
stable,PS,P1,P2,18,18,-0.5511791654031875,-0.6040626547048135,-0.05288348930162601
stable,PS,P1,P3,18,18,-0.5511791654031875,-0.7041165625395276,-0.15293739713634014
stable,PS,P2,P3,18,18,-0.6040626547048135,-0.7041165625395276,-0.10005390783471413
stable,RD,P1,P2,7,7,-0.658960824605082,-0.706979031954483,-0.04801820734940099
stable,RD,P1,P3,7,7,-0.658960824605082,-0.769886920518866,-0.110926095913784
stable,RD,P2,P3,7,7,-0.706979031954483,-0.769886920518866,-0.06290788856438301
stable,RN,P1,P2,31,31,0.710047930713102,0.647569892484926,-0.06247803822817599
stable,RN,P1,P3,31,31,0.710047930713102,0.577325817741585,-0.13272211297151704
stable,RN,P2,P3,31,31,0.647569892484926,0.577325817741585,-0.07024407474334105
stable,UDI,P1,P2,27,27,0.721541856809094,0.650840823750527,-0.07070103305856701
stable,UDI,P1,P3,27,27,0.721541856809094,0.592240941845502,-0.12930091496359197
stable,UDI,P2,P3,27,27,0.650840823750527,0.592240941845502,-0.058599881905024964
